kenpom,sports_reference_url_value,cbs,conference,vsin,teamrank,sports_reference,home_location
North Carolina Central,north-carolina-central,NC Central,MEAC,NC Central,NC Central,North Carolina Central,McDougald–McLendon Arena
North Dakota,north-dakota,North Dakota,Sum,N Dakota,North Dakota,North Dakota,Betty Engelstad Sioux Center
North Dakota St.,north-dakota-state,N. Dakota St.,Sum,N Dakota ST,N Dakota St,North Dakota State,Scheels Center
North Florida,north-florida,North Florida,ASun,N Florida,N Florida,North Florida,UNF Arena
North Texas,north-texas,North Texas,Amer,North Texas,N Texas,North Texas,UNT Coliseum
Northeastern,northeastern,Northeastern,CAA,Northeastern,Northeastrn,Northeastern,Matthews Arena
Northern Arizona,northern-arizona,N. Arizona,BSky,N Arizona,N Arizona,Northern Arizona,Walkup Skydome
Northern Colorado,northern-colorado,N. Colorado,BSky,N Colorado,N Colorado,Northern Colorado,Bank of Colorado Arena
Northern Illinois,northern-illinois,N. Illinois,MAC,N Illinois,N Illinois,Northern Illinois,Convocation Center
Northern Iowa,northern-iowa,N. Iowa,MVC,N Iowa,N Iowa,Northern Iowa,McLeod Center
Northern Kentucky,northern-kentucky,N. Kentucky,Horz,N Kentucky,N Kentucky,Northern Kentucky,Truist Arena
Northwestern,northwestern,Northwestern,B10,Northwestern,Northwestern,Northwestern,Welsh–Ryan Arena
Northwestern St.,northwestern-state,Northwestern St.,Slnd,Northwestern ST,NW State,Northwestern State,Prather Coliseum
Notre Dame,notre-dame,Notre Dame,ACC,Notre Dame,Notre Dame,Notre Dame,Purcell Pavilion at Edmund P. Joyce Center
Oakland,oakland,Oakland,Horz,Oakland,Oakland,Oakland,OU Credit Union O'rena
Ohio,ohio,Ohio,MAC,Ohio,Ohio,Ohio,Convocation Center
Ohio St.,ohio-state,Ohio St.,B10,Ohio ST,Ohio St,Ohio State,Value City Arena
Oklahoma,oklahoma,Oklahoma,SEC,Oklahoma,Oklahoma,Oklahoma,Lloyd Noble Center
Oklahoma St.,oklahoma-state,Okla. St.,B12,Oklahoma ST,Oklahoma St,Oklahoma State,Gallagher-Iba Arena
Old Dominion,old-dominion,Old Dominion,SB,Old Dominion,Old Dominion,Old Dominion,Chartway Arena
Oral Roberts,oral-roberts,Oral Roberts,Sum,Oral Roberts,Oral Roberts,Oral Roberts,Mabee Center
Oregon,oregon,Oregon,B10,Oregon,Oregon,Oregon,Matthew Knight Arena
Oregon St.,oregon-state,Oregon St.,WCC,Oregon ST,Oregon St,Oregon State,Gill Coliseum
Pacific,pacific,Pacific,WCC,Pacific,Pacific,Pacific,Alex G. Spanos Center
Penn,pennsylvania,Penn,Ivy,Pennsylvania,U Penn,Pennsylvania,Palestra
Penn St.,penn-state,Penn St.,B10,Penn ST,Penn St,Penn State,Bryce Jordan Center
Pepperdine,pepperdine,Pepperdine,WCC,Pepperdine,Pepperdine,Pepperdine,Firestone Fieldhouse
Pittsburgh,pittsburgh,Pittsburgh,ACC,Pittsburgh,Pittsburgh,Pittsburgh,Petersen Events Center
Portland,portland,Portland,WCC,Portland,Portland,Portland,Chiles Center
Portland St.,portland-state,Portland St.,BSky,Portland ST,Portland St,Portland State,Viking Pavilion
Prairie View A&M,prairie-view,Prairie View,SWAC,Prairie View A&M,Prairie View,Prairie View,William J. Nicks Building
Presbyterian,presbyterian,Presbyterian,BSth,Presbyterian,Presbyterian,Presbyterian,Templeton Physical Education Center
Princeton,princeton,Princeton,Ivy,Princeton,Princeton,Princeton,Jadwin Gymnasium
Providence,providence,Providence,BE,Providence,Providence,Providence,Amica Mutual Pavilion
Purdue,purdue,Purdue,B10,Purdue,Purdue,Purdue,Mackey Arena
Purdue Fort Wayne,ipfw,PFW,Horz,IPFW,IPFW,Purdue Fort Wayne,Hilliard Gates Sports Center
Queens,queens-nc,Queens,ASun,Queens NC,Queens,Queens (NC),Curry Arena
Quinnipiac,quinnipiac,Quinnipiac,MAAC,Quinnipiac,Quinnipiac,Quinnipiac,M&T Bank Arena
Radford,radford,Radford,BSth,Radford,Radford,Radford,Dedmon Center
Rhode Island,rhode-island,Rhode Island,A10,Rhode Island,Rhode Island,Rhode Island,Thomas M. Ryan Center
Rice,rice,Rice,Amer,Rice,Rice,Rice,Tudor Fieldhouse
Richmond,richmond,Richmond,A10,Richmond,Richmond,Richmond,Robins Center
Rider,rider,Rider,MAAC,Rider,Rider,Rider,Alumni Gymnasium
Robert Morris,robert-morris,Robert Morris,Horz,Robert Morris,Robert Morris,Robert Morris,UPMC Events Center
Rutgers,rutgers,Rutgers,B10,Rutgers,Rutgers,Rutgers,Jersey Mike's Arena
Sacramento St.,sacramento-state,Sacramento St.,BSky,Sacramento ST,Sac State,Sacramento State,Hornets Nest
Sacred Heart,sacred-heart,Sacred Heart,MAAC,Sacred Heart,Sacred Hrt,Sacred Heart,William H. Pitt Center
Saint Francis,saint-francis-pa,Saint Francis,NEC,St Francis-PA,St Francis PA,Saint Francis (PA),DeGol Arena
Saint Joseph's,saint-josephs,Saint Joseph's,A10,St Josephs,Saint Joseph's,Saint Joseph's,Hagan Arena
Saint Louis,saint-louis,Saint Louis,A10,Saint Louis,Saint Louis,Saint Louis,Chaifetz Arena
Saint Mary's,saint-marys-ca,Saint Mary's,WCC,St Marys,Saint Mary's,Saint Mary's (CA),University Credit Union Pavilion
Saint Peter's,saint-peters,Saint Peter's,MAAC,St Peters,St Peters,Saint Peter's,Run Baby Run Arena
Sam Houston St.,sam-houston-state,Sam Houston,CUSA,Sam Houston ST,Sam Hous St,Sam Houston,Bernard Johnson Coliseum
Samford,samford,Samford,SC,Samford,Samford,Samford,Pete Hanna Center
San Diego,san-diego,San Diego,WCC,San Diego,San Diego,San Diego,Jenny Craig Pavilion
San Diego St.,san-diego-state,San Diego St.,MWC,San Diego ST,San Diego St,San Diego State,Viejas Arena
San Francisco,san-francisco,San Fran.,WCC,San Francisco,San Francisco,San Francisco,The Sobrato Center
San Jose St.,san-jose-state,San Jose St.,MWC,San Jose ST,San Jose St,San Jose State,Provident Credit Union Event Center
Santa Clara,santa-clara,Santa Clara,WCC,Santa Clara,Santa Clara,Santa Clara,Leavey Center
Seattle,seattle,Seattle,WCC,Seattle U,Seattle,Seattle,Redhawk Center
Seton Hall,seton-hall,Seton Hall,BE,Seton Hall,Seton Hall,Seton Hall,Prudential Center
Siena,siena,Siena,MAAC,Siena,Siena,Siena,MVP Arena
SIUE,southern-illinois-edwardsville,SIUE,OVC,SIU-Edwardsville,SIU Edward,SIU Edwardsville,Vadalabene Center
SMU,southern-methodist,SMU,ACC,SMU,SMU,Southern Methodist,Moody Coliseum
South Alabama,south-alabama,South Alabama,SB,S Alabama,S Alabama,South Alabama,Mitchell Center
South Carolina,south-carolina,S. Carolina,SEC,South Carolina,South Carolina,South Carolina,Colonial Life Arena
