Date,Teams,DK Open,DynW%,Location,Spread,SpreadOdds,SpreadProbability,PredictedScore,PointsScored,Total,TotalOdds,TotalProbability,MoneyLine,Luck,AdjEM,AdjO,AdjD,AdjT,SOS,AvgPF,AvgPA,TOV,Pace,Ts%,eFG%,MatchupUncertainty,MLConfidence,SU_Correct,Cover_Correct,OU_Correct
1/17/2024,Nevada,188,20.41%,a,7.0,-110.0,43.36%,67.58,59,141.5,-110.0,69.95%,,0.058,15.43,111.2,95.8,68.1,-0.21,72.636,65.841,10.061,69.476,0.564,0.514,,,1.000,1.000,0.000
1/17/2024,San Diego St.,-230,79.59%,h,-7.0,-109.0,56.64%,76.44,71,10.6,-110.0,30.05%,-278,0.083,18.7,113.6,94.9,68.0,8.83,71.154,61.889,10.846,70.141,0.535,0.500,,,,,
1/18/2024,Minnesota,660,12.90%,a,11.0,-110.0,32.23%,67.24,66,142.5,-110.0,78.65%,,-0.023,8.55,109.7,101.2,67.8,-3.83,62.871,68.830,12.290,70.506,0.512,0.492,,,1.000,1.000,0.000
1/18/2024,Michigan St.,-1050,87.10%,h,-11.0,-109.0,67.77%,83.62,76,11.8,-110.0,21.35%,-700,-0.143,21.32,116.8,95.4,65.9,7.47,70.912,65.988,10.294,69.041,0.550,0.519,,,,,
1/18/2024,South Florida,680,6.56%,a,11.0,-111.0,30.65%,89.32,74,159.0,-110.0,52.62%,,-0.005,1.99,105.1,103.1,69.8,-5.39,71.969,69.804,13.063,72.400,0.532,0.510,,,0.000,1.000,0.000
1/18/2024,Memphis,-1100,93.44%,h,-11.0,-108.0,69.35%,106.64,73,12.3,-110.0,47.38%,-690,0.119,15.18,114.4,99.2,72.5,5.22,79.371,69.793,13.029,73.876,0.568,0.532,,,,,
1/18/2024,Wichita St.,920,12.79%,a,15.0,-109.0,47.99%,72.37,77,154.5,-110.0,56.96%,,0.017,1.17,105,103.8,71.0,3.23,71.000,66.409,11.906,73.225,0.540,0.510,,,1.000,1.000,1.000
1/18/2024,Florida Atlantic,-1800,87.21%,h,-15.0,-110.0,52.01%,87.96,86,12.1,-110.0,43.04%,-1600,-0.007,18.84,118.9,100.1,67.9,5.01,77.821,63.689,11.359,70.418,0.573,0.547,,,,,
1/18/2024,FIU,550,19.25%,a,14.0,-109.0,47.99%,69.87,69,142.0,115.0,76.44%,,-0.019,-6.43,101.5,108,71.1,-2.76,73.094,72.864,14.250,75.389,0.552,0.525,,,1.000,1.000,1.000
1/18/2024,Liberty,-800,80.75%,h,-14.0,-111.0,52.01%,84.58,78,13.7,115.0,23.56%,-1100,-0.047,8.02,110.7,102.6,64.6,2.54,74.694,59.313,9.861,66.822,0.589,0.567,,,,,
1/18/2024,Louisiana Monroe,1500,11.08%,a,21.0,-109.0,51.39%,55.04,70,146.0,-110.0,60.70%,,-0.067,-15.36,94.7,110.1,66.7,-1.78,67.406,67.741,11.875,70.320,0.505,0.471,,,1.000,1.000,1.000
1/18/2024,James Madison,-4000,88.92%,h,-21.0,-111.0,48.61%,75.13,89,17.4,-110.0,39.30%,,0.037,10.46,111.2,100.7,71.9,-5.01,80.545,66.077,12.697,75.265,0.558,0.524,,,,,
1/18/2024,Illinois,-125,67.60%,a,-3.0,-111.0,70.85%,86.47,88,153.5,-110.0,73.83%,,-0.075,22.86,119.1,96.2,70.3,4.17,74.303,65.194,12.515,72.450,0.542,0.515,,,1.000,1.000,1.000
1/18/2024,Michigan,104,32.40%,h,3.0,-109.0,29.15%,82.75,73,12.1,-110.0,26.17%,,-0.165,11.04,114.7,103.7,67.8,8.22,73.353,67.643,10.147,71.400,0.545,0.515,,,,,
1/18/2024,Oregon St.,1000,7.45%,a,16.0,-109.0,42.01%,68.55,47,144.0,-110.0,82.40%,,0.075,0.57,105.4,104.9,66.0,2.49,61.219,64.985,12.750,67.388,0.514,0.469,,,1.000,1.000,0.000
1/18/2024,Utah,-2100,92.55%,h,-16.0,-110.0,57.99%,86.82,74,11.9,-110.0,17.60%,-1600,0.004,18.44,117,98.6,71.1,7.89,68.656,61.926,11.656,72.771,0.521,0.490,,,,,
1/18/2024,Washington,-108,77.92%,a,2.0,-108.0,69.43%,83.06,77,154.5,-110.0,68.64%,,-0.079,12.75,113.6,100.8,71.2,7.12,69.156,68.198,13.406,73.624,0.530,0.492,,,1.000,1.000,0.000
1/18/2024,California,-111,22.08%,h,-2.0,-111.0,30.57%,78.92,75,12.0,-110.0,31.36%,,-0.114,3.46,110.2,106.7,68.2,5.27,58.313,67.985,11.906,70.641,0.482,0.440,,,,,
1/18/2024,Utah Valley,800,28.39%,a,13.0,-110.0,52.96%,66.33,65,140.5,106.0,71.38%,,0.03,-2.54,99.9,102.4,67.7,2.5,77.378,66.802,13.189,70.441,0.559,0.522,,,1.000,0.000,1.000
1/18/2024,Grand Canyon,-1400,71.61%,h,-13.0,-110.0,47.04%,78.30,78,12.9,106.0,28.62%,-1050,0.057,13.12,113.5,100.3,68.3,-3.78,75.167,65.449,11.167,71.524,0.575,0.546,,,,,
1/18/2024,UC San Diego,188,26.61%,a,6.0,-110.0,44.92%,64.58,65,139.5,-110.0,67.20%,,-0.051,4.73,110.1,105.4,65.7,-1.85,68.567,70.631,11.433,68.935,0.529,0.499,,,1.000,1.000,1.000
1/18/2024,UC Irvine,-230,73.39%,h,-6.0,-109.0,55.08%,72.29,76,14.4,-110.0,32.80%,-275,-0.024,10.88,107.4,96.6,68.3,2.21,74.771,65.349,11.714,70.647,0.554,0.527,,,,,
1/18/2024,Gonzaga,-880,84.44%,a,-12.0,-110.0,96.65%,81.85,88,157.5,-110.0,50.09%,-850,-0.091,18.42,116.1,97.6,71.0,2.43,86.135,71.463,10.351,73.469,0.601,0.579,,,1.000,1.000,0.000
